DWS Measurement v9.2.8 
08/24/18 7:06:15 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	30.04
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	594.15
Mean Count Rate (kHz):	586.8


Lag time (s)	g2-1

1.250000E-8	0.999013
2.500000E-8	0.996983
3.750000E-8	0.996865
5.000000E-8	0.997989
6.250000E-8	1.001878
7.500000E-8	0.998044
8.750000E-8	0.999936
1.000000E-7	0.999442
1.125000E-7	1.001553
1.250000E-7	1.002664
1.375000E-7	0.998070
1.500000E-7	0.999070
1.625000E-7	0.998005
1.750000E-7	1.000084
1.875000E-7	0.997943
2.000000E-7	0.995434
2.125000E-7	0.998632
2.375000E-7	0.998027
2.625000E-7	0.996456
2.875000E-7	0.998601
3.125000E-7	0.997488
3.375000E-7	0.999366
3.625000E-7	0.997432
3.875000E-7	0.995672
4.125000E-7	0.994600
4.625000E-7	0.996849
5.125000E-7	0.994550
5.625000E-7	0.993300
6.125000E-7	0.992580
6.625000E-7	0.995270
7.125000E-7	0.992683
7.625000E-7	0.993211
8.125000E-7	0.992585
9.125000E-7	0.992184
1.012500E-6	0.992834
1.112500E-6	0.991045
1.212500E-6	0.992746
1.312500E-6	0.991672
1.412500E-6	0.991517
1.512500E-6	0.992163
1.612500E-6	0.991548
1.812500E-6	0.991466
2.012500E-6	0.987991
2.212500E-6	0.988038
2.412500E-6	0.985901
2.612500E-6	0.986154
2.812500E-6	0.985693
3.012500E-6	0.985666
3.212500E-6	0.986114
3.612500E-6	0.984181
4.012500E-6	0.981183
4.412500E-6	0.980506
4.812500E-6	0.980475
5.212500E-6	0.979053
5.612500E-6	0.976299
6.012500E-6	0.976959
6.412500E-6	0.976118
7.212500E-6	0.974229
8.012500E-6	0.973050
8.812500E-6	0.969530
9.612500E-6	0.969370
1.041250E-5	0.966658
1.121250E-5	0.966404
1.201250E-5	0.964164
1.281250E-5	0.963209
1.441250E-5	0.960419
1.601250E-5	0.959005
1.761250E-5	0.956320
1.921250E-5	0.954637
2.081250E-5	0.952428
2.241250E-5	0.950751
2.401250E-5	0.948555
2.561250E-5	0.946815
2.881250E-5	0.943345
3.201250E-5	0.940234
3.521250E-5	0.937526
3.841250E-5	0.935202
4.161250E-5	0.932769
4.481250E-5	0.930263
4.801250E-5	0.927760
5.121250E-5	0.925696
5.761250E-5	0.922022
6.401250E-5	0.918470
7.041250E-5	0.914915
7.681250E-5	0.912223
8.321250E-5	0.909547
8.961250E-5	0.906791
9.601250E-5	0.904324
0.000102	0.902253
0.000115	0.898003
0.000128	0.894452
0.000141	0.891103
0.000154	0.888048
0.000166	0.885374
0.000179	0.882900
0.000192	0.880460
0.000205	0.878370
0.000230	0.874605
0.000256	0.871114
0.000282	0.868048
0.000307	0.865434
0.000333	0.862951
0.000358	0.860676
0.000384	0.858642
0.000410	0.856906
0.000461	0.853541
0.000512	0.850672
0.000563	0.848175
0.000614	0.845999
0.000666	0.843990
0.000717	0.842139
0.000768	0.840368
0.000819	0.838861
0.000922	0.836196
0.001024	0.833926
0.001126	0.831786
0.001229	0.829978
0.001331	0.828455
0.001434	0.826840
0.001536	0.825467
0.001638	0.824294
0.001843	0.821721
0.002048	0.819883
0.002253	0.818064
0.002458	0.816473
0.002662	0.815130
0.002867	0.814128
0.003072	0.812691
0.003277	0.811739
0.003686	0.809807
0.004096	0.808089
0.004506	0.806503
0.004915	0.804880
0.005325	0.803279
0.005734	0.801787
0.006144	0.800376
0.006554	0.799696
0.007373	0.797705
0.008192	0.795645
0.009011	0.793650
0.009830	0.791380
0.010650	0.789657
0.011469	0.788260
0.012288	0.786865
0.013107	0.785682
0.014746	0.782679
0.016384	0.780102
0.018022	0.777689
0.019661	0.774787
0.021299	0.772484
0.022938	0.771029
0.024576	0.768978
0.026214	0.767725
0.029491	0.763639
0.032768	0.759973
0.036045	0.756715
0.039322	0.753189
0.042598	0.749938
0.045875	0.746939
0.049152	0.744492
0.052429	0.744441
0.058982	0.739130
0.065536	0.733962
0.072090	0.729126
0.078643	0.724833
0.085197	0.720177
0.091750	0.714743
0.098304	0.710024
0.104858	0.709081
0.117965	0.699791
0.131072	0.689584
0.144179	0.681624
0.157286	0.673442
0.170394	0.664946
0.183501	0.656550
0.399815	0.533339
0.599722	0.440913
0.799630	0.364886
0.999537	0.302241
1.199445	0.250338
1.399352	0.209427
1.599260	0.177505
1.799167	0.149758
1.999075	0.126646
2.198982	0.106432
2.398890	0.090968
2.598797	0.077683
2.798705	0.065981
2.998612	0.054913
3.198520	0.047533
3.398427	0.038582
3.598335	0.034138
3.798242	0.028601
3.998150	0.024489
4.198057	0.022434
4.397965	0.019808
4.597872	0.018139
4.797780	0.017396
4.997687	0.015859
5.197595	0.016757
5.397502	0.014884
5.597410	0.015012
5.797317	0.013094
5.997225	0.012469
6.197132	0.011631
6.397040	0.011781
6.596947	0.008935
6.796855	0.010335
6.996762	0.009132
7.196670	0.007672
7.396577	0.006438
7.596485	0.006224
7.796392	0.004626
7.996300	0.002993
8.196207	0.002448
8.396115	0.003011
8.596022	0.001612
8.795930	0.003241
8.995837	0.003216
9.195745	0.004999
9.395652	0.005513
9.595560	0.006897
9.795467	0.006454
9.995375	0.006009
10.195282	0.004992
10.395190	0.005141
10.595097	0.004537
10.795005	0.004894
10.994912	0.004609
11.194820	0.003369
11.394727	0.004588
11.594635	0.006920
11.794542	0.007824
11.994450	0.007195
12.194357	0.005540
12.394265	0.004603
12.594172	0.004530
12.794080	0.003855


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.420000	532.523287
13.379000	607.527480
20.340000	740.324602
27.310000	512.369946
34.271000	470.254456
41.239000	684.987620
48.200000	317.383679
54.980000	421.177195
61.948000	337.989260
68.910000	422.814899
75.879000	1149.179153
82.847000	571.120937
89.807000	628.496331
96.777000	756.717562
103.546000	421.895030
110.519000	594.973171
117.486000	647.865552
124.448000	232.810340
125.077146	581.025604
126.125722	585.882344
127.174298	583.472932
128.013158	581.893468
129.061734	585.063436
130.110310	587.272571
131.158886	583.757603
132.207462	593.893650
133.256038	582.680230
134.094899	585.245322
135.143475	580.894896
136.192051	571.708282
137.240627	593.721679
138.289203	585.288894
139.337779	585.382460
140.386355	588.471427
141.434931	591.801423
142.483507	591.718778
143.322368	602.214276
144.370944	586.760679
145.419520	583.548398
146.468096	590.734990
147.516672	590.984112
148.565248	589.553611
149.613824	587.252304
150.662400	576.357846
151.501261	568.292639
152.549837	578.183670
153.598413	584.479221
154.646989	591.120349
155.695565	586.749443
156.744141	593.563288
157.792717	580.195856
158.841293	586.121028
159.889869	577.366817
160.938445	591.723321
161.987021	584.171011
162.825882	580.916694
163.874458	588.538833
164.923034	589.186443
165.971610	588.391979
167.020186	589.286494
168.068762	579.696791
169.117338	583.768063
170.165914	588.907524
171.214490	584.115270
172.053350	592.291259
173.101926	591.038145
174.150502	592.976630
175.199078	582.118318
176.247654	592.198988
177.296230	586.549561
178.344806	583.369083
179.183667	582.299731
180.232243	573.668496
181.280819	596.420242
182.329395	589.225459
183.377971	594.730811
184.426547	589.002714

Measurement Notes:

