DWS Measurement v9.2.8 
08/24/18 3:06:03 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	98.229
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	765.08
Mean Count Rate (kHz):	605.6


Lag time (s)	g2-1

1.25E-08	0.999787
 2.5E-08	0.998787
3.75E-08	  1.0003
   5E-08	 1.00057
6.25E-08	 1.00067
 7.5E-08	0.999581
8.75E-08	 1.00026
   1E-07	0.999656
1.125E-07	0.998167
1.25E-07	 1.00019
1.375E-07	0.998834
 1.5E-07	0.999336
1.625E-07	0.999407
1.75E-07	0.999602
1.875E-07	0.999448
   2E-07	0.996973
2.125E-07	0.998463
2.375E-07	0.999387
2.625E-07	0.999277
2.875E-07	 1.00026
3.125E-07	0.999029
3.375E-07	0.999068
3.625E-07	0.997284
3.875E-07	 0.99727
4.125E-07	0.998091
4.625E-07	0.997259
5.125E-07	0.997593
5.625E-07	0.997532
6.125E-07	0.997193
6.625E-07	0.997476
7.125E-07	0.996363
7.625E-07	0.996353
8.125E-07	0.996647
9.125E-07	0.995394
1.0125E-06	0.996367
1.1125E-06	0.996229
1.2125E-06	0.997001
1.3125E-06	0.997867
1.4125E-06	0.996954
1.5125E-06	0.997112
1.6125E-06	 0.99707
1.8125E-06	0.996376
2.0125E-06	  0.9957
2.2125E-06	0.994573
2.4125E-06	0.993849
2.6125E-06	0.993998
2.8125E-06	0.994204
3.0125E-06	0.994466
3.2125E-06	0.994612
3.6125E-06	0.994108
4.0125E-06	0.992131
4.4125E-06	0.992093
4.8125E-06	0.992951
5.2125E-06	0.991893
5.6125E-06	0.990324
6.0125E-06	0.990299
6.4125E-06	0.990488
7.2125E-06	0.988851
8.0125E-06	0.988772
8.8125E-06	0.987234
9.6125E-06	0.987376
1.04125E-05	0.986495
1.12125E-05	0.986289
1.20125E-05	0.985452
1.28125E-05	0.985187
1.44125E-05	0.984304
1.60125E-05	0.983865
1.76125E-05	0.982954
1.92125E-05	0.982337
2.08125E-05	 0.98157
2.24125E-05	 0.98089
2.40125E-05	0.979937
2.56125E-05	0.979128
2.88125E-05	 0.97744
3.20125E-05	0.976249
3.52125E-05	0.975424
3.84125E-05	0.974714
4.16125E-05	0.973737
4.48125E-05	0.972639
4.80125E-05	0.971459
5.12125E-05	0.970565
5.76125E-05	0.969402
6.40125E-05	0.968161
7.04125E-05	 0.96649
7.68125E-05	0.965602
8.32125E-05	0.964733
8.96125E-05	 0.96322
9.60125E-05	0.962381
0.000102	0.961752
0.000115	0.959877
0.000128	0.958693
0.000141	0.957383
0.000154	0.956076
0.000166	0.955125
0.000179	0.954163
0.000192	0.953313
0.000205	 0.95252
 0.00023	0.951058
0.000256	0.949809
0.000282	0.948618
0.000307	0.947743
0.000333	0.946812
0.000358	 0.94607
0.000384	0.945359
 0.00041	0.944657
0.000461	0.943465
0.000512	 0.94244
0.000563	0.941489
0.000614	0.940699
0.000666	 0.93997
0.000717	0.939379
0.000768	0.938756
0.000819	0.938289
0.000922	0.937346
0.001024	0.936511
0.001126	0.935764
0.001229	0.935094
0.001331	0.934517
0.001434	 0.93401
0.001536	0.933545
0.001638	0.933126
0.001843	0.932366
0.002048	0.931705
0.002253	0.931032
0.002458	0.930502
0.002662	0.930022
0.002867	0.929624
0.003072	0.929246
0.003277	0.928956
0.003686	0.928346
0.004096	0.927848
0.004506	0.927362
0.004915	0.926995
0.005325	0.926661
0.005734	0.926345
0.006144	0.926042
0.006554	0.925797
0.007373	 0.92513
0.008192	0.924468
0.009011	0.923859
 0.00983	0.923354
 0.01065	 0.92309
0.011469	0.922641
0.012288	0.922254
0.013107	0.921944
0.014746	0.921092
0.016384	0.920508
0.018022	0.920063
0.019661	0.919429
0.021299	0.918726
0.022938	0.918285
0.024576	0.917897
0.026214	0.917709
0.029491	0.916867
0.032768	0.916024
0.036045	 0.91513
0.039322	0.914133
0.042598	0.913589
0.045875	0.912583
0.049152	0.912022
0.052429	0.912065
0.058982	0.910542
0.065536	0.909264
 0.07209	0.907958
0.078643	0.906702
0.085197	0.905503
 0.09175	0.904173
0.098304	0.903009
0.104858	0.903249
0.117965	0.900998
0.131072	0.898552
0.144179	0.896085
0.157286	 0.89376
0.170394	0.891614
0.183501	0.889522
0.399815	0.865767
0.599722	0.846867
0.799629	0.821221
0.999537	0.806444
 1.19944	0.783912
 1.39935	0.764841
 1.59926	0.751754
 1.79917	0.729148
 1.99907	0.713417
 2.19898	0.696866
 2.39889	0.678401
 2.59879	0.666762
  2.7987	0.647733
 2.99861	0.632692
 3.19852	0.620873
 3.39842	0.603257
 3.59833	0.592018
 3.79824	0.576766
 3.99815	0.562636
 4.19805	0.553931
 4.39796	0.537703
 4.59787	0.525681
 4.79777	0.515259
 4.99768	0.501267
 5.19759	0.492813
  5.3975	0.479759
  5.5974	 0.46822
 5.79731	0.460462
 5.99722	0.447181
 6.19713	0.438022
 6.39703	0.428792
 6.59694	0.417852
 6.79685	0.411262
 6.99676	0.400808
 7.19666	 0.39116
 7.39657	0.384506
 7.59648	0.374428
 7.79638	 0.36846
 7.99629	0.359445
  8.1962	0.350802
 8.39611	0.345877
 8.59601	0.336613
 8.79592	0.329416
 8.99583	0.322799
 9.19574	0.314084
 9.39564	0.309709
 9.59555	0.301731
 9.79546	0.294292
 9.99536	0.289986
 10.1953	0.282235
 10.3952	0.276375
 10.5951	0.270784
  10.795	0.263946
 10.9949	0.260305
 11.1948	 0.25393
 11.3947	0.247955
 11.5946	0.244317
 11.7945	0.237997
 11.9944	 0.23434
 12.1943	0.228586
 12.3943	0.223676
 12.5942	0.221248
 12.7941	0.215284


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.421000	364.598138
 13.380000	468.072519
 20.342000	1607.460285
 27.121000	489.035607
 34.089000	799.604955
 41.051000	1005.258592
 48.020000	1812.604177
 54.981000	2169.145645
 61.950000	1374.947729
 68.721000	1087.768448
 75.501000	407.501491
 82.471000	180.795190
 89.438000	316.340695
 96.398000	798.321369
103.367000	 79.670908
110.318000	545.560541
117.280000	582.128966
124.241000	384.464360
124.870146	596.421337
125.918722	592.262782
126.967298	590.327358
127.806158	594.538553
128.854734	595.873922
129.903310	599.760566
130.951886	591.787158
132.000462	588.722995
133.049038	589.819366
133.887899	593.933406
134.936475	592.437888
135.985051	587.783820
137.033627	588.370963
138.082203	590.769682
139.130779	588.788077
140.179355	595.301517
141.227931	598.401798
142.276507	598.657521
143.115368	603.469071
144.163944	599.512096
145.212520	594.871346
146.261096	595.979449
147.309672	598.412672
148.358248	597.613961
149.406824	595.916205
150.455400	593.342587
151.503976	594.297374
152.342837	599.131138
153.391413	599.265740
154.439989	592.845469
155.488565	595.282117
156.537141	584.697629
157.585717	587.460786
158.634293	586.819673
159.682869	590.869760
160.731445	589.156751
161.570306	591.190195
162.618882	599.804892
163.667458	592.447302
164.716034	593.072641
165.764610	591.418105
166.813186	596.850845
167.861762	596.551152
168.910338	588.196663
169.958914	593.594898
170.797774	589.797504
171.846350	589.349148
172.894926	587.886289
173.943502	592.360749
174.992078	593.319725
176.040654	593.972082
177.089230	593.952190
178.137806	593.080843
179.186382	595.171323
180.025243	594.367157
181.073819	600.924373

Measurement notes:

