DWS Measurement v9.2.8 
08/22/18 2:47:53 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	25.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	465.0
l* (microns):	938.48
Mean Count Rate (kHz):	166.2


Lag time (s)	g2-1

1.250000E-8	1.009825
2.500000E-8	1.000141
3.750000E-8	0.999692
5.000000E-8	1.002413
6.250000E-8	0.994719
7.500000E-8	0.991882
8.750000E-8	1.004927
1.000000E-7	1.012365
1.125000E-7	1.003211
1.250000E-7	1.007366
1.375000E-7	1.008353
1.500000E-7	0.992685
1.625000E-7	0.996557
1.750000E-7	0.991584
1.875000E-7	1.001874
2.000000E-7	0.997694
2.125000E-7	0.999850
2.375000E-7	0.993258
2.625000E-7	1.007012
2.875000E-7	1.004815
3.125000E-7	0.998248
3.375000E-7	0.993315
3.625000E-7	1.000329
3.875000E-7	0.994750
4.125000E-7	0.993954
4.625000E-7	0.997404
5.125000E-7	1.000146
5.625000E-7	0.996399
6.125000E-7	0.998216
6.625000E-7	0.996340
7.125000E-7	1.002417
7.625000E-7	0.999602
8.125000E-7	0.993662
9.125000E-7	0.993507
1.012500E-6	0.998322
1.112500E-6	0.993536
1.212500E-6	0.993276
1.312500E-6	0.997980
1.412500E-6	0.998012
1.512500E-6	0.995332
1.612500E-6	0.996598
1.812500E-6	0.996943
2.012500E-6	0.991521
2.212500E-6	0.989726
2.412500E-6	0.993675
2.612500E-6	0.994478
2.812500E-6	0.992026
3.012500E-6	0.994255
3.212500E-6	0.990848
3.612500E-6	0.990425
4.012500E-6	0.989290
4.412500E-6	0.989792
4.812500E-6	0.991270
5.212500E-6	0.989547
5.612500E-6	0.987553
6.012500E-6	0.985240
6.412500E-6	0.986549
7.212500E-6	0.984026
8.012500E-6	0.982880
8.812500E-6	0.982319
9.612500E-6	0.982290
1.041250E-5	0.981364
1.121250E-5	0.981008
1.201250E-5	0.978066
1.281250E-5	0.978247
1.441250E-5	0.978239
1.601250E-5	0.976370
1.761250E-5	0.975902
1.921250E-5	0.975960
2.081250E-5	0.974785
2.241250E-5	0.972405
2.401250E-5	0.971667
2.561250E-5	0.971059
2.881250E-5	0.968050
3.201250E-5	0.966654
3.521250E-5	0.965261
3.841250E-5	0.963657
4.161250E-5	0.964075
4.481250E-5	0.961744
4.801250E-5	0.959920
5.121250E-5	0.958790
5.761250E-5	0.957504
6.401250E-5	0.955316
7.041250E-5	0.953262
7.681250E-5	0.952360
8.321250E-5	0.950789
8.961250E-5	0.949291
9.601250E-5	0.948177
0.000102	0.947690
0.000115	0.945227
0.000128	0.943104
0.000141	0.941600
0.000154	0.940556
0.000166	0.938945
0.000179	0.937498
0.000192	0.936389
0.000205	0.935369
0.000230	0.933676
0.000256	0.931884
0.000282	0.930661
0.000307	0.929392
0.000333	0.928200
0.000358	0.927226
0.000384	0.926565
0.000410	0.925491
0.000461	0.923816
0.000512	0.922470
0.000563	0.921165
0.000614	0.920298
0.000666	0.919307
0.000717	0.918256
0.000768	0.917535
0.000819	0.916715
0.000922	0.915214
0.001024	0.914093
0.001126	0.912987
0.001229	0.911890
0.001331	0.910981
0.001434	0.910145
0.001536	0.909240
0.001638	0.908476
0.001843	0.907255
0.002048	0.905834
0.002253	0.904898
0.002458	0.903978
0.002662	0.902968
0.002867	0.902181
0.003072	0.901481
0.003277	0.900967
0.003686	0.899496
0.004096	0.898336
0.004506	0.897504
0.004915	0.896863
0.005325	0.896264
0.005734	0.895875
0.006144	0.895291
0.006554	0.895150
0.007373	0.894264
0.008192	0.893926
0.009011	0.893798
0.009830	0.893480
0.010650	0.893514
0.011469	0.893396
0.012288	0.893549
0.013107	0.894028
0.014746	0.894543
0.016384	0.895280
0.018022	0.895377
0.019661	0.893992
0.021299	0.891711
0.022938	0.889619
0.024576	0.888288
0.026214	0.888366
0.029491	0.889464
0.032768	0.890696
0.036045	0.889911
0.039322	0.887391
0.042598	0.885854
0.045875	0.884753
0.049152	0.886559
0.052429	0.887606
0.058982	0.884033
0.065536	0.883603
0.072090	0.883012
0.078643	0.879292
0.085197	0.880165
0.091750	0.877746
0.098304	0.876417
0.104858	0.878203
0.117965	0.876102
0.131072	0.873344
0.144179	0.871145
0.157286	0.869413
0.170394	0.867459
0.183501	0.865288
0.399815	0.835993
0.599723	0.808876
0.799630	0.777959
0.999538	0.756583
1.199445	0.731467
1.399353	0.705726
1.599260	0.683830
1.799168	0.661499
1.999075	0.639111
2.198983	0.618734
2.398890	0.597283
2.598798	0.580385
2.798705	0.560643
2.998613	0.541643
3.198520	0.526476
3.398428	0.506342
3.598335	0.489833
3.798243	0.472670
3.998151	0.453758
4.198058	0.441571
4.397966	0.423589
4.597873	0.408716
4.797781	0.395077
4.997688	0.382209
5.197596	0.370576
5.397503	0.355414
5.597411	0.341363
5.797318	0.331146
5.997226	0.318442
6.197133	0.305917
6.397041	0.296134
6.596948	0.286436
6.796856	0.278505
6.996763	0.269963
7.196671	0.260485
7.396578	0.252077
7.596486	0.241592
7.796393	0.231878
7.996301	0.225385
8.196209	0.217704
8.396116	0.211105
8.596024	0.203878
8.795931	0.194630
8.995839	0.189366
9.195746	0.182206
9.395654	0.175322
9.595561	0.172587
9.795469	0.164533
9.995376	0.162253
10.195284	0.155850
10.395191	0.150150
10.595099	0.145889
10.795006	0.142034
10.994914	0.136009
11.194821	0.133141
11.394729	0.127646
11.594636	0.124250
11.794544	0.121686
11.994452	0.116424
12.194359	0.111596
12.394267	0.106505
12.594174	0.102792
12.794082	0.101563


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.425000	28.896478
13.395000	244.818105
20.353000	35.454985
27.324000	62.294713
34.284000	65.605858
41.254000	109.953920
48.224000	52.667090
54.993000	99.326381
61.964000	77.956739
68.934000	137.557889
75.903000	51.104970
82.863000	41.518657
89.842000	95.144716
96.802000	36.259242
103.762000	77.984990
110.721000	100.653485
117.692000	207.663401
124.661000	245.277216
125.290146	165.787536
126.338722	165.563323
127.387298	165.975485
128.226158	166.042949
129.274734	165.182313
130.323310	167.439256
131.371886	167.006370
132.420462	165.705514
133.469038	166.701393
134.307899	164.123598
135.356475	165.547445
136.405051	165.564322
137.453627	167.378677
138.502203	166.055027
139.550779	165.735773
140.599355	166.422907
141.647931	166.292901
142.486792	165.816250
143.535368	165.680140
144.583944	164.844209
145.632520	164.187029
146.681096	165.920879
147.729672	167.250632
148.778248	167.999803
149.826824	165.184211
150.875400	165.173487
151.923976	164.004094
152.762837	166.094964
153.811413	167.597083
154.859989	166.348704
155.908565	165.789863
156.957141	164.216086
158.005717	163.528797
159.054293	164.167965
160.102869	163.837120
161.151445	161.964185
162.200021	163.318872
163.038882	164.530860
164.087458	167.385651
165.136034	165.932529
166.184610	166.414865
167.233186	165.729842
168.281762	167.964445
169.330338	166.699644
170.378914	164.374829
171.427490	165.539092
172.476066	164.673813
173.524642	163.200696
174.573218	163.663493
175.621794	165.098341
176.460654	166.892019
177.509230	166.171501
178.557806	168.039373
179.606382	168.594243
180.654958	165.944864
181.703534	166.087047
182.752110	163.569428
183.800686	166.844307

Measurement Notes:

