DWS Measurement v9.2.8 
08/23/18 12:45:04 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	24.98
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	191.459
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	832.12
Mean Count Rate (kHz):	124.5


Lag time (s)	g2-1

1.250000E-8	1.002714
2.500000E-8	0.995525
3.750000E-8	1.004403
5.000000E-8	0.994099
6.250000E-8	1.007425
7.500000E-8	0.996203
8.750000E-8	0.999848
1.000000E-7	1.004505
1.125000E-7	0.992576
1.250000E-7	1.007635
1.375000E-7	1.008786
1.500000E-7	1.009190
1.625000E-7	1.009817
1.750000E-7	0.987378
1.875000E-7	0.994219
2.000000E-7	0.996670
2.125000E-7	1.005470
2.375000E-7	0.996639
2.625000E-7	0.997756
2.875000E-7	1.004128
3.125000E-7	0.991719
3.375000E-7	1.001510
3.625000E-7	0.994224
3.875000E-7	1.001808
4.125000E-7	0.991534
4.625000E-7	1.000989
5.125000E-7	0.995428
5.625000E-7	1.000774
6.125000E-7	0.999861
6.625000E-7	0.996710
7.125000E-7	0.999750
7.625000E-7	0.988587
8.125000E-7	0.990803
9.125000E-7	0.989111
1.012500E-6	0.989718
1.112500E-6	0.993528
1.212500E-6	0.995860
1.312500E-6	0.995674
1.412500E-6	0.996607
1.512500E-6	0.997384
1.612500E-6	0.993465
1.812500E-6	0.996402
2.012500E-6	0.993637
2.212500E-6	0.988533
2.412500E-6	0.988198
2.612500E-6	0.985170
2.812500E-6	0.988066
3.012500E-6	0.987073
3.212500E-6	0.988178
3.612500E-6	0.985958
4.012500E-6	0.982092
4.412500E-6	0.981829
4.812500E-6	0.982274
5.212500E-6	0.980106
5.612500E-6	0.975663
6.012500E-6	0.976876
6.412500E-6	0.976669
7.212500E-6	0.973528
8.012500E-6	0.973579
8.812500E-6	0.969392
9.612500E-6	0.972245
1.041250E-5	0.964986
1.121250E-5	0.966468
1.201250E-5	0.963654
1.281250E-5	0.963138
1.441250E-5	0.962996
1.601250E-5	0.961110
1.761250E-5	0.959511
1.921250E-5	0.958017
2.081250E-5	0.955742
2.241250E-5	0.954431
2.401250E-5	0.951509
2.561250E-5	0.948578
2.881250E-5	0.945123
3.201250E-5	0.943333
3.521250E-5	0.939272
3.841250E-5	0.938205
4.161250E-5	0.936147
4.481250E-5	0.934424
4.801250E-5	0.931279
5.121250E-5	0.929298
5.761250E-5	0.926565
6.401250E-5	0.923628
7.041250E-5	0.919006
7.681250E-5	0.916586
8.321250E-5	0.914991
8.961250E-5	0.911801
9.601250E-5	0.910571
0.000102	0.908919
0.000115	0.904720
0.000128	0.902371
0.000141	0.898785
0.000154	0.896759
0.000166	0.894646
0.000179	0.892067
0.000192	0.890011
0.000205	0.888737
0.000230	0.885291
0.000256	0.882795
0.000282	0.880241
0.000307	0.878493
0.000333	0.876621
0.000358	0.874578
0.000384	0.872629
0.000410	0.871939
0.000461	0.869736
0.000512	0.867327
0.000563	0.865622
0.000614	0.864037
0.000666	0.862842
0.000717	0.861530
0.000768	0.860132
0.000819	0.859277
0.000922	0.857616
0.001024	0.855709
0.001126	0.854681
0.001229	0.853316
0.001331	0.852061
0.001434	0.851034
0.001536	0.849986
0.001638	0.849028
0.001843	0.847211
0.002048	0.845837
0.002253	0.844366
0.002458	0.843443
0.002662	0.842200
0.002867	0.841176
0.003072	0.840093
0.003277	0.839398
0.003686	0.838299
0.004096	0.837311
0.004506	0.836635
0.004915	0.835695
0.005325	0.834625
0.005734	0.833983
0.006144	0.833546
0.006554	0.833143
0.007373	0.833060
0.008192	0.832385
0.009011	0.831767
0.009830	0.831223
0.010650	0.830452
0.011469	0.829511
0.012288	0.828729
0.013107	0.827877
0.014746	0.826864
0.016384	0.826679
0.018022	0.825785
0.019661	0.824114
0.021299	0.822657
0.022938	0.821035
0.024576	0.819708
0.026214	0.819284
0.029491	0.818663
0.032768	0.817283
0.036045	0.815627
0.039322	0.814410
0.042598	0.812716
0.045875	0.810380
0.049152	0.809449
0.052429	0.808996
0.058982	0.805528
0.065536	0.802947
0.072090	0.800602
0.078643	0.796997
0.085197	0.795086
0.091750	0.792288
0.098304	0.789998
0.104858	0.789023
0.117965	0.784283
0.131072	0.779523
0.144179	0.775521
0.157286	0.771556
0.170394	0.767452
0.183501	0.763173
0.399815	0.706888
0.599723	0.664081
0.799630	0.621601
0.999538	0.584396
1.199445	0.548999
1.399353	0.514928
1.599260	0.487464
1.799168	0.456840
1.999075	0.432296
2.198983	0.406461
2.398890	0.383560
2.598798	0.363624
2.798705	0.341075
2.998613	0.324496
3.198520	0.306323
3.398428	0.289585
3.598335	0.277635
3.798243	0.262209
3.998150	0.248568
4.198058	0.235452
4.397965	0.223741
4.597873	0.211762
4.797780	0.201867
4.997688	0.192176
5.197595	0.183384
5.397503	0.174897
5.597410	0.165336
5.797318	0.160121
5.997225	0.152457
6.197133	0.145391
6.397040	0.138288
6.596948	0.130672
6.796855	0.126993
6.996763	0.120424
7.196670	0.116837
7.396578	0.109632
7.596485	0.104776
7.796393	0.100922
7.996300	0.094592
8.196208	0.091637
8.396115	0.089337
8.596023	0.086595
8.795930	0.081973
8.995838	0.076772
9.195745	0.071834
9.395653	0.072773
9.595560	0.066335
9.795468	0.065402
9.995375	0.063167
10.195283	0.059021
10.395190	0.057548
10.595098	0.054555
10.795005	0.054371
10.994913	0.054551
11.194820	0.054510
11.394728	0.053945
11.594635	0.052950
11.794543	0.050368
11.994450	0.049719
12.194358	0.048374
12.394265	0.047107
12.594173	0.044925
12.794080	0.045307


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

6.425000	277.837747
13.385000	102.789108
20.355000	176.687310
27.324000	174.318771
34.284000	124.995004
41.254000	88.090497
48.215000	114.271126
55.183000	210.571578
62.154000	68.220936
69.115000	70.250297
76.082000	248.520765
83.044000	56.165216
90.013000	76.282900
96.975000	162.253103
103.943000	146.259366
110.913000	271.012354
117.882000	87.021794
124.843000	75.071667
125.472146	123.077977
126.520722	123.371153
127.569298	122.635603
128.408158	123.115589
129.456734	124.731915
130.505310	124.584164
131.553886	124.582228
132.602462	125.067562
133.651038	125.367906
134.489899	125.739455
135.538475	124.179009
136.587051	123.781940
137.635627	124.157936
138.684203	126.263404
139.732779	125.738938
140.781355	123.531543
141.829931	126.646117
142.878507	124.233151
143.717368	124.514060
144.765944	124.216732
145.814520	125.992311
146.863096	125.114469
147.911672	125.531616
148.960248	123.517276
150.008824	124.084431
151.057400	123.898205
152.105976	122.648402
153.154552	123.505552
154.203128	123.398801
155.251704	121.445412
156.300280	122.108005
157.348856	123.758030
158.397432	122.185179
159.446008	124.265756
160.494584	122.764158
161.543160	123.832796
162.382021	123.106361
163.430597	124.036358
164.479173	122.973279
165.527749	123.085355
166.576325	122.623663
167.624901	125.383563
168.673477	125.296797
169.722053	125.013294
170.770629	124.436027
171.819205	122.412578
172.867781	123.440193
173.916357	122.550675
174.964933	123.204576
176.013509	123.248046
177.062085	123.029647
178.110661	123.927197
178.949522	125.073549
179.998098	123.600825
181.046674	124.105836
182.095250	122.550982
183.143826	124.254078
184.192402	122.462820

Measurement Notes:

