DWS Measurement v9.2.8 
08/23/18 7:37:57 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	29.98
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	546.72
Mean Count Rate (kHz):	117.2


Lag time (s)	g2-1

1.25E-08	0.997525
 2.5E-08	0.997787
3.75E-08	0.998418
   5E-08	0.985386
6.25E-08	0.998873
 7.5E-08	 1.00313
8.75E-08	 1.00104
   1E-07	 1.00864
1.125E-07	 1.00354
1.25E-07	0.988393
1.375E-07	0.998829
 1.5E-07	 1.00491
1.625E-07	0.988696
1.75E-07	  1.0066
1.875E-07	 1.00833
   2E-07	  1.0096
2.125E-07	0.993894
2.375E-07	0.992684
2.625E-07	0.990443
2.875E-07	0.995505
3.125E-07	0.997275
3.375E-07	0.989389
3.625E-07	0.996174
3.875E-07	0.985318
4.125E-07	0.988406
4.625E-07	0.990285
5.125E-07	0.988776
5.625E-07	0.992706
6.125E-07	0.986312
6.625E-07	0.981077
7.125E-07	0.984424
7.625E-07	 0.97987
8.125E-07	0.983172
9.125E-07	0.987199
1.0125E-06	0.984523
1.1125E-06	0.984246
1.2125E-06	 0.98458
1.3125E-06	0.984595
1.4125E-06	0.987153
1.5125E-06	 0.98606
1.6125E-06	0.984279
1.8125E-06	0.982201
2.0125E-06	0.978031
2.2125E-06	0.979075
2.4125E-06	0.974635
2.6125E-06	0.971807
2.8125E-06	0.974914
3.0125E-06	0.976874
3.2125E-06	0.977338
3.6125E-06	0.972938
4.0125E-06	 0.96711
4.4125E-06	0.965714
4.8125E-06	0.965121
5.2125E-06	0.966521
5.6125E-06	0.958759
6.0125E-06	0.960778
6.4125E-06	 0.95978
7.2125E-06	0.956058
8.0125E-06	0.954197
8.8125E-06	0.948077
9.6125E-06	0.949709
1.04125E-05	0.944267
1.12125E-05	0.944454
1.20125E-05	0.940331
1.28125E-05	0.939932
1.44125E-05	0.936743
1.60125E-05	0.933281
1.76125E-05	0.928981
1.92125E-05	0.927612
2.08125E-05	0.925126
2.24125E-05	0.921201
2.40125E-05	0.919243
2.56125E-05	0.915988
2.88125E-05	0.910427
3.20125E-05	 0.90654
3.52125E-05	0.902294
3.84125E-05	0.900254
4.16125E-05	0.895727
4.48125E-05	0.892799
4.80125E-05	0.888591
5.12125E-05	0.886124
5.76125E-05	0.881686
6.40125E-05	0.877329
7.04125E-05	0.871979
7.68125E-05	0.868635
8.32125E-05	0.864729
8.96125E-05	0.860864
9.60125E-05	0.858489
0.000102	0.855895
0.000115	0.849992
0.000128	0.845645
0.000141	0.841904
0.000154	0.837756
0.000166	0.834531
0.000179	0.831803
0.000192	0.828896
0.000205	0.826507
 0.00023	 0.82202
0.000256	0.818263
0.000282	0.814836
0.000307	0.811913
0.000333	0.808353
0.000358	0.806363
0.000384	0.803926
 0.00041	0.801979
0.000461	0.797757
0.000512	0.794722
0.000563	0.791913
0.000614	0.789701
0.000666	0.787878
0.000717	0.785761
0.000768	0.784254
0.000819	0.782558
0.000922	0.779803
0.001024	0.777199
0.001126	0.775568
0.001229	0.773274
0.001331	0.771495
0.001434	0.770083
0.001536	 0.76831
0.001638	0.767046
0.001843	0.764852
0.002048	0.762633
0.002253	0.760912
0.002458	0.759421
0.002662	0.757838
0.002867	0.756336
0.003072	0.755392
0.003277	0.754383
0.003686	0.752523
0.004096	0.751102
0.004506	0.749472
0.004915	 0.74817
0.005325	0.747049
0.005734	0.745984
0.006144	0.745137
0.006554	0.744188
0.007373	 0.74201
0.008192	0.740382
0.009011	0.738805
 0.00983	0.738215
 0.01065	0.737871
0.011469	0.737045
0.012288	0.736284
0.013107	 0.73586
0.014746	0.734679
0.016384	0.734328
0.018022	0.733804
0.019661	0.731839
0.021299	0.729792
0.022938	0.727816
0.024576	0.725878
0.026214	0.724365
0.029491	0.721768
0.032768	 0.72011
0.036045	 0.71919
0.039322	0.716864
0.042598	0.715539
0.045875	0.712773
0.049152	0.710973
0.052429	0.710575
0.058982	0.706969
0.065536	0.704732
 0.07209	0.701417
0.078643	0.697879
0.085197	0.696969
 0.09175	0.692694
0.098304	0.689677
0.104858	0.690541
0.117965	0.684366
0.131072	0.679018
0.144179	0.673824
0.157286	0.669238
0.170394	0.665365
0.183501	0.660293
0.399815	0.593338
0.599722	0.539081
0.799629	0.491497
0.999536	0.450344
 1.19944	0.411147
 1.39935	0.379143
 1.59926	0.347931
 1.79916	0.320474
 1.99907	0.295088
 2.19898	0.272945
 2.39889	0.251038
 2.59879	0.230723
  2.7987	0.214577
 2.99861	0.195958
 3.19852	0.182008
 3.39842	0.169987
 3.59833	0.155614
 3.79824	 0.14511
 3.99815	0.137806
 4.19805	0.126681
 4.39796	0.117761
 4.59787	0.108274
 4.79777	0.102572
 4.99768	0.0945945
 5.19759	0.088185
  5.3975	0.084355
  5.5974	0.077248
 5.79731	0.071919
 5.99722	0.067855
 6.19712	0.065268
 6.39703	0.0627425
 6.59694	0.057586
 6.79685	0.0553485
 6.99675	0.052623
 7.19666	0.049806
 7.39657	0.0462295
 7.59648	0.043748
 7.79638	0.044249
 7.99629	0.0413645
  8.1962	0.036013
 8.39611	0.0363105
 8.59601	0.0359495
 8.79592	0.0331065
 8.99583	0.0325285
 9.19573	0.0319005
 9.39564	0.0312665
 9.59555	0.031231
 9.79546	0.0318265
 9.99536	0.0308635
 10.1953	0.028888
 10.3952	0.029552
 10.5951	0.0295805
  10.795	0.0280615
 10.9949	0.029283
 11.1948	0.029369
 11.3947	0.0286245
 11.5946	0.027274
 11.7945	0.0262885
 11.9944	0.026005
 12.1943	0.0250485
 12.3942	0.0232585
 12.5942	0.021657
 12.7941	0.021205


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.418000	 76.383992
 13.380000	 96.620530
 20.339000	 47.268617
 27.310000	177.959121
 34.280000	188.962119
 41.239000	118.971333
 48.207000	285.406656
 55.169000	 93.363407
 62.139000	 98.524882
 69.108000	215.135362
 76.078000	 78.672608
 83.035000	 93.626002
 89.808000	 68.405200
 96.779000	189.363851
103.747000	132.026738
110.705000	 60.495514
117.657000	 66.572090
124.618000	106.549029
125.247146	117.709450
126.295722	119.908698
127.344298	118.078042
128.183158	118.061167
129.231734	118.142904
130.280310	118.498716
131.328886	117.388702
132.377462	117.495438
133.426038	114.719416
134.264899	116.910906
135.313475	117.237704
136.362051	116.607643
137.410627	118.601319
138.459203	115.752219
139.507779	118.168057
140.556355	116.823192
141.604931	116.909827
142.653507	118.812757
143.702083	119.199693
144.750659	117.491875
145.799235	116.944165
146.847811	119.186688
147.896387	116.640534
148.944963	117.459660
149.993539	119.545817
151.042115	118.723863
152.090691	118.542362
153.139267	119.599803
154.187843	116.668369
155.236419	117.739122
156.075280	118.648620
157.123856	118.504578
158.172432	118.957347
159.221008	118.090052
160.269584	118.814645
161.318160	118.056443
162.366736	118.312780
163.415312	119.048275
164.463888	118.274973
165.512464	120.895351
166.561040	117.284349
167.609616	116.956144
168.658192	118.145280
169.706768	117.654730
170.755344	116.627202
171.803920	116.239806
172.852496	115.572720
173.691357	116.755365
174.739933	115.595079
175.788509	116.198578
176.837085	116.801441
177.885661	115.766380
178.934237	117.059112
179.982813	118.818237
181.031389	118.796245

Measurement notes:

