 ITERATION:            1           1
 PARAMETERS PART
 RATIO  0.400000006    
 TIME INTERVAL   9.99999997E-07
 MICELLE LENGTH   20.0000000    
 PLATAEU   265.293579    
 Le   9.00000003E-08
 Lp   9.00000003E-08
 DATA PART
   3.00000011E-06  0.921001315      0.921026230    
   3.99999999E-06  0.915373683      0.917941689    
   4.99999987E-06  0.910731673      0.915061951    
   6.00000021E-06  0.906754851      0.912295640    
   7.00000010E-06  0.903246760      0.909714341    
   7.99999998E-06  0.900096536      0.907267094    
   9.00000032E-06  0.897222817      0.904942751    
   9.99999975E-06  0.894589424      0.902731061    
   1.10000001E-05  0.892142475      0.900622964    
   1.20000004E-05  0.889860213      0.898609877    
   1.29999999E-05  0.887715042      0.896684408    
   1.40000002E-05  0.885692894      0.894767046    
   1.49999996E-05  0.883773148      0.892991066    
   1.60000000E-05  0.881947696      0.891283512    
   1.70000003E-05  0.880207956      0.889639139    
   1.80000006E-05  0.878543198      0.888053179    
   1.89999992E-05  0.876943648      0.886521280    
   1.99999995E-05  0.875411928      0.885039508    
   2.09999998E-05  0.873935461      0.883604228    
   2.20000002E-05  0.872512460      0.882212102    
   2.30000005E-05  0.871132493      0.880860209    
   2.40000008E-05  0.869800627      0.879545689    
   2.49999994E-05  0.868491769      0.878266096    
   2.59999997E-05  0.867245197      0.877019227    
   2.70000000E-05  0.866037071      0.875729561    
   2.80000004E-05  0.864862978      0.874539137    
   2.90000007E-05  0.863729000      0.873375654    
   2.99999992E-05  0.862627923      0.872237444    
   3.09999996E-05  0.861556590      0.871123075    
   3.19999999E-05  0.860517025      0.870031118    
   3.30000003E-05  0.859503925      0.868960500    
   3.40000006E-05  0.858518064      0.867909968    
   3.50000009E-05  0.857559323      0.866878569    
   3.60000013E-05  0.856622934      0.865865290    
   3.70000016E-05  0.855704665      0.864869237    
   3.79999983E-05  0.854807675      0.863889754    
   3.89999987E-05  0.853929281      0.862925887    
   3.99999990E-05  0.853064179      0.861977100    
   4.09999993E-05  0.852214277      0.861042678    
   4.19999997E-05  0.851383090      0.860122085    
   4.30000000E-05  0.850563943      0.859214723    
   4.40000003E-05  0.849759638      0.858320117    
   4.50000007E-05  0.848968506      0.857437909    
   4.60000010E-05  0.848191261      0.856567502    
   4.70000014E-05  0.847426414      0.855708599    
   4.80000017E-05  0.846653938      0.854860723    
   4.89999984E-05  0.845908105      0.854023635    
   4.99999987E-05  0.845178068      0.853196979    
   5.09999991E-05  0.844457746      0.852380395    
   5.19999994E-05  0.843749046      0.851573586    
   5.29999998E-05  0.843052089      0.850776434    
   5.40000001E-05  0.842363536      0.849988580    
   5.50000004E-05  0.841686308      0.849209785    
   5.60000008E-05  0.841016233      0.848439753    
   5.70000011E-05  0.840356410      0.847664833    
   5.80000014E-05  0.839701593      0.846911669    
   5.89999981E-05  0.839057207      0.846166849    
   5.99999985E-05  0.838420630      0.845430017    
   6.09999988E-05  0.837790251      0.844701052    
   6.19999992E-05  0.837168336      0.843979895    
   6.29999995E-05  0.836552739      0.843266249    
   6.39999998E-05  0.835944116      0.842560053    
   6.50000002E-05  0.835343301      0.841861248    
   6.60000005E-05  0.834753752      0.841169477    
   6.70000009E-05  0.834168792      0.840484798    
   6.80000012E-05  0.833588481      0.839806974    
   6.90000015E-05  0.833016157      0.839136004    
   7.00000019E-05  0.832453668      0.838471651    
   7.10000022E-05  0.831893623      0.837813854    
   7.20000025E-05  0.831341267      0.837162495    
   7.30000029E-05  0.830793440      0.836517572    
   7.40000032E-05  0.830249012      0.835878789    
   7.49999963E-05  0.829711974      0.835246205    
   7.59999966E-05  0.829179764      0.834619701    
   7.69999970E-05  0.828653812      0.833999038    
   7.79999973E-05  0.828131735      0.833384395    
   7.89999976E-05  0.827616632      0.832775533    
   7.99999980E-05  0.827105343      0.832172394    
   8.09999983E-05  0.826598048      0.831574798    
   8.19999987E-05  0.826094568      0.830982804    
   8.29999990E-05  0.825597644      0.830396295    
   8.39999993E-05  0.825103164      0.829815149    
   8.49999997E-05  0.824613929      0.829239309    
   8.60000000E-05  0.824127078      0.828668714    
   8.70000003E-05  0.823646545      0.827675700    
   8.80000007E-05  0.823167861      0.827110469    
   8.90000010E-05  0.822697639      0.826550305    
   9.00000014E-05  0.822229445      0.825995147    
   9.10000017E-05  0.821765363      0.825444877    
   9.20000020E-05  0.821304083      0.824899495    
   9.30000024E-05  0.820848644      0.824358881    
   9.40000027E-05  0.820371687      0.823822916    
   9.50000031E-05  0.819921613      0.823291719    
   9.60000034E-05  0.819475412      0.822765112    
   9.69999965E-05  0.819032311      0.822243035    
   9.79999968E-05  0.818592310      0.821725368    
   9.89999971E-05  0.818157375      0.821212292    
   9.99999975E-05  0.817725658      0.820703566    
   1.00999998E-04  0.817297220      0.820199072    
   1.03999999E-04  0.816029131      0.818711221    
   1.06000000E-04  0.815200388      0.817739964    
   1.09000001E-04  0.813978672      0.816313267    
   1.11000001E-04  0.813178182      0.815381587    
   1.14000002E-04  0.812002659      0.814012468    
   1.16000003E-04  0.811230063      0.813118100    
   1.18999997E-04  0.810063243      0.811803281    
   1.21999998E-04  0.808942854      0.810519636    
   1.25000006E-04  0.807845116      0.809265912    
   1.28000000E-04  0.806768358      0.808041394    
   1.30999993E-04  0.805716038      0.806844890    
   1.34000002E-04  0.804684937      0.805675566    
   1.36999995E-04  0.803666949      0.804532528    
   1.40000004E-04  0.802667499      0.803414941    
   1.42999997E-04  0.801681280      0.802321970    
   1.46000006E-04  0.800712287      0.801252842    
   1.49999993E-04  0.799450874      0.799862921    
